-,-,-
--at-
-87172 7.948 40.47
22 2.140.605-134.521484, 92.773438, 738.281250
-217.041016, 4.882812, 710.937500
-130.615234, -72.509766, 797.851562
-173.095703, -118.408203, 790.039062
-105.224609, -115.478516, 830.566406
-83.251953, -117.431641, 932.128906
-61.279297, -77.880859, 1066.894531
54.199219, -249.267578, 1214.843750
5.859375, -406.494141, 1373.046875
5.371094, -311.279297, 1425.292969
-61.767578, -254.638672, 1411.132812
-29.541016, -231.689453, 1462.890625
-100.830078, -171.142578, 1464.843750
-88.134766, -199.951172, 1466.796875
-190.673828, -166.748047, 1445.312500
-123.291016, -270.263672, 1349.121094
30.761719, -197.998047, 1171.875000
31.250000, -156.494141, 969.726562
144.042969, -302.490234, 955.078125
27.343750, -176.513672, 787.109375
-,-,-
-213.623047, 171.386719, 735.351562
-211.181641, 157.226562, 707.031250
-115.966797, 133.300781, 681.640625
-212.646484, -26.611328, 756.347656
-129.150391, -29.541016, 753.417969
-172.119141, -61.767578, 747.070312
-121.337891, -146.728516, 829.589844
-35.888672, -82.763672, 959.472656
-40.771484, -145.263672, 943.359375
134.277344, -265.869141, 1220.214844
28.808594, -272.216797, 1347.167969
11.718750, -269.287109, 1383.789062
-16.357422, -272.216797, 1429.687500
-93.994141, -226.318359, 1354.492188
-46.630859, -197.998047, 1350.097656
-169.677734, -164.306641, 1248.046875
-104.248047, -176.025391, 1378.906250
-165.771484, -156.494141, 1424.316406
-107.666016, -153.076172, 1381.835938
-44.189453, -162.353516, 1341.796875
-7.568359, -384.521484, 1301.757812
89.355469, -379.150391, 974.609375
281.738281, -342.529297, 752.441406
33.203125, -363.525391, 492.675781
-,-,-
-179.443359, 108.398438, 747.558594
-166.259766, 76.171875, 747.070312
-189.697266, 1.953125, 741.210938
-197.998047, -46.142578, 786.132812
-114.013672, -77.880859, 804.199219
-191.650391, -101.806641, 844.726562
39.062500, -114.990234, 920.898438
-106.201172, -199.462891, 1011.230469
72.265625, -254.638672, 1239.257812
-79.833984, -327.880859, 1306.640625
38.574219, -290.771484, 1374.023438
-18.798828, -218.017578, 1479.980469
-59.326172, -177.490234, 1505.371094
-32.958984, -153.076172, 1588.378906
-105.224609, -198.974609, 1632.812500
-60.302734, -187.744141, 1471.679688
-107.666016, -219.970703, 1386.718750
62.011719, -262.939453, 1052.734375
102.050781, -349.853516, 1017.578125
250.000000, -363.525391, 739.257812
185.058594, -188.720703, 438.476562
-,-,-
-363.525391, 64.453125, 626.464844
-298.583984, 78.125000, 662.109375
-234.130859, 11.718750, 652.343750
-136.962891, 9.765625, 693.847656
-111.083984, -103.271484, 883.300781
-11.474609, -56.884766, 831.542969
47.851562, -176.025391, 1105.468750
-22.216797, -190.185547, 1058.593750
27.343750, -169.677734, 1199.218750
-89.111328, -281.982422, 1257.812500
-59.326172, -224.365234, 1249.023438
-80.322266, -185.302734, 1380.859375
-124.755859, -158.447266, 1356.445312
-151.123047, -143.798828, 1401.855469
-182.373047, -162.841797, 1344.726562
-164.306641, -192.138672, 1447.265625
-152.099609, -207.763672, 1440.429688
-3.173828, -251.708984, 1398.437500
-104.248047, -384.521484, 1394.531250
90.332031, -273.193359, 1005.859375
138.671875, -268.310547, 915.039062
108.886719, -298.095703, 549.804688
401.855469, -86.181641, 331.054688
-,-,-
-362.548828, 139.648438, 603.027344
-244.384766, 100.585938, 635.742188
-304.443359, 86.425781, 637.695312
-237.548828, -35.888672, 615.234375
-228.759766, -135.498047, 814.453125
-145.263672, -91.552734, 826.171875
-53.466797, -81.787109, 999.023438
-79.833984, -170.654297, 1133.789062
